epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,383.855,1.32969,1.75225,1.08157,0.00793,1.01169,0.84587,0.82609,0.91164,0.64112,0.85371,0.82459,0.91168,0.65028,1.16,1.15425,0.89247,0.00603,0,0.000911,0.000911,0.000911
57,390.445,1.28327,1.6918,0.98952,0.00666,0.90954,0.87017,0.81522,0.92082,0.66646,0.87125,0.80978,0.91457,0.66256,1.07095,1.15782,0.79873,0.00582,0,0.0008912,0.0008912,0.0008912
58,395.873,1.16769,1.54858,0.87348,0.00583,0.7659,0.87017,0.81522,0.92082,0.66646,0.87125,0.80978,0.91457,0.66256,1.07095,1.15782,0.79873,0.00582,0,0.0008714,0.0008714,0.0008714
59,403.137,1.28524,1.60238,0.91941,0.006,0.93399,0.90793,0.81522,0.91547,0.66036,0.8939,0.80435,0.9003,0.64765,1.05354,1.15267,0.75747,0.00587,0,0.0008516,0.0008516,0.0008516
60,413.219,1.21199,1.63993,0.95364,0.00715,0.8779,0.90793,0.81522,0.91547,0.66036,0.8939,0.80435,0.9003,0.64765,1.05354,1.15267,0.75747,0.00587,0,0.0008318,0.0008318,0.0008318
61,419.691,1.22649,1.70929,0.95368,0.00662,0.90078,0.88224,0.81522,0.92057,0.67263,0.90455,0.79891,0.91453,0.65123,1.00752,1.12177,0.7525,0.00553,0,0.000812,0.000812,0.000812
62,424.899,1.16327,1.55606,0.93392,0.00562,0.77031,0.80346,0.90217,0.92305,0.67615,0.7979,0.89674,0.92052,0.66687,1.00946,1.07927,0.75581,0.00555,0,0.0007922,0.0007922,0.0007922
63,432.152,1.18436,1.52908,0.96738,0.0057,0.87592,0.80346,0.90217,0.92305,0.67615,0.7979,0.89674,0.92052,0.66687,1.00946,1.07927,0.75581,0.00555,0,0.0007724,0.0007724,0.0007724
64,440.59,1.10667,1.45847,0.92015,0.00598,0.6627,0.81105,0.88587,0.92298,0.69293,0.81105,0.88587,0.92149,0.668,0.95923,1.06047,0.7176,0.00519,0,0.0007526,0.0007526,0.0007526
65,447.671,1.1556,1.36854,0.85098,0.00442,0.95109,0.81105,0.88587,0.92298,0.69293,0.81105,0.88587,0.92149,0.668,0.95923,1.06047,0.7176,0.00519,0,0.0007328,0.0007328,0.0007328
66,453.229,1.1456,1.53863,0.86313,0.00611,0.81053,0.8395,0.8913,0.93007,0.69244,0.8395,0.8913,0.92845,0.66991,0.94005,1.04881,0.68904,0.00518,0,0.000713,0.000713,0.000713
67,465.568,1.05076,1.23027,0.73993,0.00444,0.74166,0.84564,0.89322,0.9368,0.70506,0.84564,0.89322,0.93739,0.67441,0.93957,1.04599,0.67843,0.00512,0,0.0006932,0.0006932,0.0006932
68,471.424,1.1036,1.35967,0.84953,0.00514,0.73941,0.84564,0.89322,0.9368,0.70506,0.84564,0.89322,0.93739,0.67441,0.93957,1.04599,0.67843,0.00512,0,0.0006734,0.0006734,0.0006734
69,478.533,1.15044,1.3852,0.89143,0.00512,0.7254,0.85984,0.88043,0.93629,0.70302,0.85984,0.88043,0.93568,0.68861,0.93358,1.03326,0.66701,0.00511,0,0.0006536,0.0006536,0.0006536
70,483.741,1.08649,1.32032,0.81239,0.00498,0.7579,0.85984,0.88043,0.93629,0.70302,0.85984,0.88043,0.93568,0.68861,0.93358,1.03326,0.66701,0.00511,0,0.0006338,0.0006338,0.0006338
71,489.637,1.17339,1.60051,0.91304,0.00727,1.26885,0.8736,0.8587,0.93669,0.70179,0.8736,0.8587,0.93669,0.70223,0.9485,1.01891,0.68105,0.00514,0,0.000614,0.000614,0.000614
72,495.6,1.13562,1.49657,0.87138,0.00579,0.78165,0.90465,0.825,0.93648,0.70252,0.90465,0.825,0.93748,0.69453,0.96797,1.0221,0.69089,0.00532,0,0.0005942,0.0005942,0.0005942
73,500.609,1.0691,1.30564,0.80915,0.00511,0.68466,0.90465,0.825,0.93648,0.70252,0.90465,0.825,0.93748,0.69453,0.96797,1.0221,0.69089,0.00532,0,0.0005744,0.0005744,0.0005744
74,507.536,1.10303,1.42998,0.87307,0.0061,0.74634,0.83452,0.90217,0.93623,0.70469,0.83452,0.90217,0.93777,0.66483,0.94641,1.0167,0.71735,0.00507,0,0.0005546,0.0005546,0.0005546
75,512.637,1.04171,1.32361,0.85887,0.00544,0.70157,0.83452,0.90217,0.93623,0.70469,0.83452,0.90217,0.93777,0.66483,0.94641,1.0167,0.71735,0.00507,0,0.0005348,0.0005348,0.0005348
76,517.72,1.15097,1.39964,0.84239,0.00594,0.70982,0.84256,0.90164,0.93593,0.70498,0.83748,0.8962,0.93363,0.65946,0.93025,1.02175,0.70939,0.00489,0,0.000515,0.000515,0.000515
77,529.759,1.10612,1.34185,0.77769,0.00431,0.73151,0.86579,0.87652,0.93575,0.7118,0.83105,0.92391,0.93638,0.67126,0.89113,1.01313,0.64907,0.00471,0,0.0004952,0.0004952,0.0004952
78,536.919,1.031,1.26311,0.72169,0.00452,0.63909,0.86579,0.87652,0.93575,0.7118,0.83105,0.92391,0.93638,0.67126,0.89113,1.01313,0.64907,0.00471,0,0.0004754,0.0004754,0.0004754
79,545.393,1.03903,1.31687,0.77617,0.00531,0.72175,0.87442,0.875,0.93808,0.71677,0.87442,0.875,0.93808,0.67711,0.87673,0.99876,0.62939,0.00471,0,0.0004556,0.0004556,0.0004556
80,552.163,1.11356,1.4635,0.88014,0.00558,0.83435,0.87442,0.875,0.93808,0.71677,0.87442,0.875,0.93808,0.67711,0.87673,0.99876,0.62939,0.00471,0,0.0004358,0.0004358,0.0004358
81,557.374,1.02301,1.30735,0.75391,0.00532,0.67171,0.88443,0.875,0.94089,0.71763,0.88443,0.875,0.94089,0.68494,0.87845,0.98685,0.62979,0.0047,0,0.000416,0.000416,0.000416
82,562.492,1.05862,1.35337,0.78787,0.00496,0.73154,0.90274,0.85326,0.94191,0.72419,0.90274,0.85326,0.94197,0.68813,0.88051,0.97183,0.63009,0.00469,0,0.0003962,0.0003962,0.0003962
83,571.267,0.96528,1.27198,0.75156,0.0047,0.67162,0.90274,0.85326,0.94191,0.72419,0.90274,0.85326,0.94197,0.68813,0.88051,0.97183,0.63009,0.00469,0,0.0003764,0.0003764,0.0003764
84,576.889,1.0792,1.39015,0.86052,0.00454,0.77063,0.9053,0.8587,0.9384,0.72649,0.9053,0.8587,0.9384,0.69308,0.8733,0.95506,0.6174,0.00465,0,0.0003566,0.0003566,0.0003566
85,583.397,0.9917,1.23881,0.74665,0.00477,0.6862,0.9053,0.8587,0.9384,0.72649,0.9053,0.8587,0.9384,0.69308,0.8733,0.95506,0.6174,0.00465,0,0.0003368,0.0003368,0.0003368
86,589.255,1.0769,1.55203,0.7755,0.00629,0.72721,0.89944,0.86413,0.93822,0.72911,0.89944,0.86413,0.93822,0.68663,0.85724,0.93728,0.62427,0.00453,0,0.000317,0.000317,0.000317
87,596.253,0.99322,1.33671,0.76507,0.00412,0.62313,0.8937,0.8682,0.93883,0.7353,0.8937,0.8682,0.93749,0.69193,0.83416,0.93409,0.63064,0.00429,0,0.0002972,0.0002972,0.0002972
88,603.624,0.9929,1.23005,0.77932,0.00503,0.61647,0.8937,0.8682,0.93883,0.7353,0.8937,0.8682,0.93749,0.69193,0.83416,0.93409,0.63064,0.00429,0,0.0002774,0.0002774,0.0002774
89,610.615,1.01654,1.24796,0.69219,0.00486,0.59046,0.88547,0.86413,0.93901,0.73613,0.88547,0.86413,0.93775,0.6948,0.81829,0.92638,0.63093,0.00417,0,0.0002576,0.0002576,0.0002576
90,616.19,0.99355,1.22696,0.74255,0.00453,0.6543,0.88547,0.86413,0.93901,0.73613,0.88547,0.86413,0.93775,0.6948,0.81829,0.92638,0.63093,0.00417,0,0.0002378,0.0002378,0.0002378
91,628.221,0.91238,1.19343,0.76558,0.00524,0.69221,0.88069,0.86413,0.94036,0.74355,0.88069,0.86413,0.94011,0.69835,0.81718,0.9292,0.60727,0.00426,0,0.000218,0.000218,0.000218
92,632.377,0.92525,1.21653,0.74882,0.00535,0.83453,0.86823,0.89527,0.94186,0.74342,0.86823,0.89527,0.94279,0.69158,0.81314,0.93726,0.62436,0.00422,0,0.0001982,0.0001982,0.0001982
93,636.397,0.91332,1.23345,0.75398,0.00536,0.73136,0.86823,0.89527,0.94186,0.74342,0.86823,0.89527,0.94279,0.69158,0.81314,0.93726,0.62436,0.00422,0,0.0001784,0.0001784,0.0001784
94,641.346,0.94923,1.256,0.71551,0.00494,0.71354,0.86709,0.88643,0.94365,0.74697,0.86709,0.88643,0.94624,0.69719,0.81655,0.92852,0.64186,0.00428,0,0.0001586,0.0001586,0.0001586
95,645.39,0.90574,1.199,0.71466,0.00502,0.83985,0.86709,0.88643,0.94365,0.74697,0.86709,0.88643,0.94624,0.69719,0.81655,0.92852,0.64186,0.00428,0,0.0001388,0.0001388,0.0001388
96,649.484,0.9497,1.18774,0.67598,0.0052,0.75025,0.88091,0.88446,0.94583,0.744,0.88091,0.88446,0.94583,0.69507,0.82622,0.93986,0.6345,0.00434,0,0.000119,0.000119,0.000119
97,654.25,0.93163,1.24408,0.68995,0.00559,0.72972,0.87657,0.88043,0.94606,0.74317,0.87657,0.88043,0.94606,0.69865,0.8246,0.93307,0.63657,0.00432,0,9.92e-05,9.92e-05,9.92e-05
98,658.176,0.93833,1.21877,0.71372,0.00516,0.87018,0.87657,0.88043,0.94606,0.74317,0.87657,0.88043,0.94606,0.69865,0.8246,0.93307,0.63657,0.00432,0,7.94e-05,7.94e-05,7.94e-05
99,661.783,0.93781,1.25905,0.71142,0.00611,0.94598,0.87007,0.88587,0.94607,0.74311,0.87007,0.88587,0.94607,0.69963,0.82551,0.93121,0.63517,0.00431,0,5.96e-05,5.96e-05,5.96e-05
100,665.731,0.96367,1.26958,0.76354,0.00552,1.11242,0.87007,0.88587,0.94607,0.74311,0.87007,0.88587,0.94607,0.69963,0.82551,0.93121,0.63517,0.00431,0,3.98e-05,3.98e-05,3.98e-05
